,Tweet,Emotion,Intensity
90,My nephew sees that i have a frown on my face and he tells me 'you're  beautiful '!ðŸ˜¢ðŸ’žðŸ˜©,anger,0
91,"Actually be arsed with my sister sometimes, she controls the TV 90% of the time and when I watch one thing she gets in a huff ðŸ™„",anger,2
92,"@thomeagle Just to help maintain and boost our status as a world class centre for education, culture and tolerance. #outrage",anger,1
93,There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know,anger,3
94,"says, who are you to compared me with the others; I'm just human. #lit #fire ",anger,2
95,"No, nipples don't offend me lol. But it's sad to me to see women purposely flaunting/sexualizing their own bodies in a very immodest way.",anger,2
96,I hope my hustle don't offend nobody,anger,0
97,ramos does what he does best burning haters with his head,anger,2
98,@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage,anger,1
99,"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",anger,0
100,Follow me on Snapchat ðŸ‘» Carlabtst15 #snapchat ,anger,0
101,"@sippycoups if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and don't irritate",anger,0
102,The book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some,anger,2
103,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger,2
104,@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion ðŸ™ˆðŸ˜‚ðŸ˜‚,anger,1
105,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,3
106,@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,anger,3
107,my mom cut my phone off and I'm so furious ðŸ¤—,anger,3
108,Don't chase fame\nif you're going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH,anger,2
109,I hate not having the answers I need. #tomourssuck #prayinsnotcancer #angry,anger,3
110,So excited to watch @RuPaulsDragRace #allstars \n #RuPaul ,anger,0
111,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger,3
112,#Hudcomedy #AdamRowe  #insult Slutfaceshlongnugget,anger,2
113,These NA kids are relentless,anger,1
114,Why mfs so bitter,anger,2
115,Like hello? I am your first born you must always laugh at my jokes. #offended,anger,2
116,"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.",anger,2
117,@ThatAnt_ @Football_Pollss i have hit a lot of irate villa fans lol,anger,0
118,@St8edge4life88 eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol,anger,1
119,"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of Â£20 - I was fuming @EmmaGould_ I miss you",anger,3
120,Gotta wonder why Caller Max listens to the show in the first place if you so incense him @MSignorile,anger,0
121,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",anger,1
122,A black female LEOðŸ’™ was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive,anger,2
123,Now they fret about scuffs. Iâ€™ll take scuffs (whichâ€¦come in) for a phone I can use wet handed or drop in a toilet any day.,anger,1
124,I need all your attention! If I don't I'll pout..,anger,2
125,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,anger,0
126,@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,anger,3
127,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop,anger,3
128,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl,anger,0
129,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger,3
130,@RiveraJose39 happy birthday to my seedâ€¼ï¸â€¼ï¸â€¼ï¸ #renewtherivalry #imyourdaddy #cantbeatme #madden #tater,anger,0
131,"@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",anger,1
132,@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! ,anger,3
133,"A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.",anger,1
134,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ,anger,0
135,@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,anger,3
136,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger,3
137,@hoytschile fury road!!,anger,1
138,I wish the next madden has a story mode too. Just like Fifa 17 ,anger,0
139,i already gets aggravated too fast like why aggravate me on purpose?,anger,2
140,Yo gurls Dm for a tribute ðŸ˜œðŸ’¦ #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow,anger,0
141,@stoozyboy1 @chris_sutton73 ðŸ˜‚ðŸ˜‚ Oh the zombie rage ðŸ˜‚,anger,0
142,Circle K is dead to me. I hate your new slushie machine.  #livid,anger,3
143,@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me #fuming,anger,3
144,@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading #fuming,anger,3
145,We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews,anger,3
146,never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,anger,2
147,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger,2
148,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! #relentless",anger,0
149,"@UN_Women @JustinTrudeau @CanadianPM Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them",anger,2
150,I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,anger,3
151,I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown,anger,2
152,Chris ate all my mac n cheese so imma eat all his taffy #revenge,anger,1
153,I heard Movie Bob was furious about the Skittles analogy. He was upset that there wasn't actually any Skittles.,anger,0
154,Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.,anger,1
155,@eNCA what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall,anger,2
156,"Okay you've annoyed me, you haven't done a good job there at all. #furious",anger,3
157,"What u do wen ur love cheats on u ? Wen thy don't understand the emotions behind the anger, the constant waiting.. what u do ? @ritujai18874",anger,1
158,@Lowetide there is no room for jokes in hockey! This is a serious business where we made up teams to fill out the tournament! #outrage,anger,3
159,@atheist_taco @DrJillStein :^) well cucks among her ranks agree equally about their outrage of black youths shot and harambe.,anger,2
160,@brian5or6 turn that shit off!   Home Button under Accessibility. \n\nWhen did innovation become mind fuckery?   #rage. #iphonePhoneHome,anger,3
161,Ever put your fist through your laptops screen? If so its time for a new one lmao #rage #anger #hp,anger,3
162,Panpiper playing Big River outside The Bridges in SR1 #outrage,anger,2
163,"â€œDo not fret if you are not cool! Humans who follow me, become instantly cool!â€ #Bot",anger,0
164,@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me ðŸ˜,anger,0
165,Controlling #anger is a sign of those #righteous people promised #Paradise in the #Quran in Surah Al Imran verses 133-134 #reward #goodDeed,anger,1
166,and apparently he's supposed to have a Scottish accent??? I'm #offended,anger,2
167,Candice on great british bake off with that pout does my head in ðŸ‘ŠðŸ»ðŸ™„,anger,2
168,@Remedy0_ switch host no bullet rage.,anger,1
169,"@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.",anger,2
170,@bismahmalik .....Seems like a fight ready to rage on.....,anger,1
171,Prayers &amp; Protection to our brothers and sisters fighting in #Charlotte #rage #against #machines,anger,0
172,"gonna eat, pick up my brother, get my car washed &amp; finally go home ressssst &amp; watch all fast &amp; furious movies ðŸ¤˜ðŸ¼",anger,0
173,630am meeting Olympic House #10golds24 .  #relentless #neverquit #believe #dreambig #TeamTTO #going4gold,anger,0
174,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus ,anger,2
175,@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30 ,anger,0
176,@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter,anger,1
177,"if u have time 2 open a snap, u have time 2 respond",anger,0
178,"@ChrisWarcraft species cf. Don Jr. refugees/Skittles.know he likes his snacks,but even @gop frown on talking about eating humans #lizardscum",anger,1
179,Ok but how are the fast &amp; furious movies NOT classified as comedy's? ðŸ¤”,anger,0
180,@TillTheEndMMVI I accidetly dumped boiling water my myself ðŸ˜«,anger,2
181,one month til someone's bday and i think it's time to flaunt that I got them something pretty awesome #revenge,anger,1
182,Dentist just said to me' I'm going to numb your front lip up so it'll feel as if you've got lips like Pete Burns!...... She was right ,anger,1
183,but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger,3
184,Anyway I'm in a car with a furious white men and I have a really funny story to tell when I'm sober ðŸ˜‚,anger,0
185,@XboxMAD @RobotBrush Ballmer will be furious. Another delivery lost...,anger,2
186,@StarFlowerz17 @DreamerAbe #bitter. Nicole and Cory is why she was evicted.,anger,1
187,The best revenge is massive success. â€“Frank Sinatra,anger,0
188,#ADP's #ezlabor web portal has to be THE SLOWEST web app I have ever had the displeasure of using!!,anger,3
189,"@UnitedFrontRev @JuanDeznuts @LucidHurricane_ sex offense happens across ALL races, cultures, and creeds &amp; they should be castrated",anger,3
190,"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx. #KGB #G-town ",anger,0
191,"James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole",anger,3
192,@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone ,anger,1
193,@HannahFJames I'm distraught! ðŸ˜­ Candice and her pout can piss off,anger,3
194,Tonight's #DragRace #AllStars2 episode GAVE ME LIFE! Yaassss queens! #teamalaska #teamkatya  #bwahaha,anger,0
195,I've never seen fast &amp; furious Tokyo drift. Boutta watch it,anger,0
196,"also other ppl who i love a whole damn lot; erica, joanna, tiff, sirli, harley, anja, (the rest of the gc bc i ran out of chara!)",anger,0
197,The ghost of Stefano reflects on the grim indignity of being murdered by corrupt cops in faux love. #days,anger,2
198,@lericoo 35. Do you hold a grudge against your ex?,anger,0
199,@evanareteos :)) im now writing abt the changing face of sex industry in tr :))) now men will talk to me then! #revenge,anger,2
200,How on earth can the projection of all that is good and happy and true in my soul be a poisonous fucking snake? #patronus #adder ,anger,3
201,Nothing more entertaining and frightening than a #bitter #alcoholic trying desperately to get your attention.....,anger,2
202,@luxbet Did you even give out any pizzas ? Serious fail #hungry #furious #hangry,anger,1
203,@VodafoneUKhelp @VodafoneUK wow!! My bill is Â£44.77 and hav a text from u to prove that and you have taken Â£148!!!!! #swines  #con!,anger,3
204,Goddamn headache. ,anger,3
205,"I either look like a raging bitch, or I'm obnoxiously laughing at something not that funny. I don't think there's any middle ground.",anger,2
206,@esraalajmy huff btw tyðŸ˜”,anger,0
207,@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger,3
208,My back is starting to irritate me and it's barely 2:19 ðŸ˜“,anger,1
209,Take public opinion on revenge with Pakistan if govt is unable to decide. @aajtak @TimesNow @narendramodi,anger,1
210,"@Apple thanks for ios10 update, even the best app @telegram freezing and crashing on SE. ",anger,0
211,New madden kicking ðŸš®,anger,1
212,"@clarechampion @Westclarepage and peter your radio piece on off the ball was pure class , no digs , no revenge , a total balanced pro ! ðŸ‘ðŸ‘ðŸ‘",anger,1
213,@tttinplay nice. why are u fuming then ðŸ˜‚,anger,0
214,@jaaames1993 Literally burst out laughing.,anger,0
215,Egyptian officials expressed frustration and outrage over the Obama/Hillary administrationâ€™s support of the Muslim Brotherhood,anger,2
216,Just watching crimewatch what kind of sick fuck touches 6 year olds ðŸ˜¡ðŸ˜¡ðŸ˜¡ðŸ˜¡ shit like this makes me fume!!!,anger,3
217,"@gayla_weeks1 I try not to let my anger seep into reviews, but I resent having my time wasted on books like that. Time is precious.",anger,3
218,@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger,3
219,My baskets are better when I'm in a bad mood someone irritate me before practice please,anger,2
220,"I miss my gran singing Rawhide, in her deep baritone growl.",anger,0
221,@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger,3
222,You insult the late Sherri Martel,anger,0
223,No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,anger,2
224,@tomwilcox77 @mattgrime fuming,anger,3
225,"@healeyraine I'm offended, I actually am",anger,2
226,Don't be bitter,anger,0
227,#IndiaMissingIndira that she could never solve Kashmir Problem and kept it burning for Vote Bank\n#TerrorStatePak,anger,1
228,i love the word fret so much and im in heaven,anger,0
229,I'm not saying he might be like big foot but it might be like natural biological father says blood boiling if he cross,anger,2
230,Puzzle investing opening portland feodal population is correlative straight a snorting infuriate: XLzjYhG,anger,1
231,"@FoxNews #Poor = #angry and justly so. Offer people some hope! My god, does anyone see this?! #Education should not be for the #elite",anger,3
232,@TheDTSB @trubble1127 @nflnetwork I agree but our offense was ass after the second half td score on the first drive,anger,1
233,Just paid for chicken at @panerabread and didn't even get any ðŸ˜‘ðŸ˜‘ðŸ˜‘ there goes 4 dollars and me as a customer ,anger,2
234,Chick told me I look like Childish Gambino. #insult or #compliment,anger,2
235,@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,anger,2
236,@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading ,anger,2
237,@cc_yandian @HillaryClinton her team must draw from a hat for daily personality #drugged #angry #yeller #quiet #screamer #ðŸ˜‚ðŸ˜‚,anger,2
238,@MarkTOByrne I offered @WholeFoods @amazon @CheapAir gold or silver but they said Nah... #bitcoin #snap,anger,2
239,"You offend me, @Tansorma",anger,2
240,@RossKemp watching on +1. I would have been straight out of there with the guy who was getting irate! #ExtremeWorld,anger,2
241,my dogs making the most RIDICULOUS sounds right now its like a high pitched gargle-y growl,anger,0
242,Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger,3
243,@AgentTinsley I believe that's what you call the fury of the righteous.,anger,2
244,Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger,3
245,"If I spend more than Â£10 in shimmy on Â£1 drinks I'll be raging, but we all know it's gonna happen",anger,2
246,Actually fuming I have nothing to wear Saturday,anger,3
247,"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger,3
248,Who the hell is drilling outside my house?! Literally got to sleep at half four after a busy shift and these twats have woken me up ,anger,3
249,"If you let a general tweet offend you, you definitely shouldn't be on twitter.",anger,1
250,@JuliaHB1 Bloody right ,anger,2
251,@kjwinston11 2.  the N-word. But I think all Afr-Am are entitled to it: we shouldn't take away from them the insult they have claimed back.,anger,2
252, I can't guess if you holding a grudge against the best',anger,1
253,#Scorpio always seek revenge!,anger,2
254,@Kim_is__bored exactly what I have been saying on fb.. #bitter,anger,2
255,"Didn't think Cadres not Getting SRC deployment would make some Cadres so bitter, Ku tough Macom.",anger,2
256,@BI_Science Opioid rapid pill plague...Speed generations Pulse Rapid rabid Impairment Ist Choice Stacked usage vs street ingestion demo US,anger,2
257,angry already,anger,3
258,@bassekraah. @sunilddesai @jyoti1013 @Archnahr . A2: #irritation and isolation #lifenabler,anger,2
259,@MetPoliceFC is it true none of your players are cops? Do they drink chilled bitter? Are your players Walter Mitty types? @KeviboyAllen,anger,2
260,"im on holiday for the next round, fuming!",anger,2
261,"If someone keeps #laughing at you, don't #fret  . At least u r giving #happiness .'\n#quotes #quotestoliveby",anger,0
262,"You're so thirsty for the chance to disagree w/ the left, that you don't even realize when something is an affront to your bigoted platform.",anger,2
263,Kik me I want to swap pics I will post on my account anonymously if you wish Kik: vsvplou #Kik #kikme  #nudes #tits #snapchat,anger,0
264,the 1975 are playing antichrist why won't @sundarakarma play hustle it's an outrage,anger,1
265,"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger,1
266,whenever i pout i just want Adrian to appear and tell me to stop pouting or else,anger,2
267,very little frustrates me as much as misplacing something. Been looking for my keys for 2 hours now #rage,anger,3
268,"@fleetstreetfox It's buzzing pathetically for sympathy if you let it out it will twirl it's moustache, chuckle and sting you #Psychowasp",anger,1
269,Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging,anger,3
270,Some bloke on the train who's obviously trying to provoke West Ham fans by loudly slagging off the stadium to his mate on the phone,anger,1
271,British humour should offend and challenge mainstream views. Hat off to Clarkeson. The ultra left should go and kneel before Allah!!,anger,2
272,"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",anger,3
273,@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace,anger,0
274,"They're like the rape apologists who (inadvertently?) make men sound like rabid, mindless beasts. With friends like these...",anger,2
275,@soyoprincess they irritate me. Them and their inch thick made up masks,anger,3
276,@AmericanAir I am irate at you check-in system. I have tried to checkin all day and it wouldn't let me do it because I had no seat assigned,anger,3
277,"Imagine celtic burst the net wae every attempt, but nutt same old dain it hard way usual",anger,0
278,I asked Jared to marry me and he said no. ,anger,2
279,"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger,3
280,"Y'all bitches be so angry and bitter, that must truly suck lol",anger,3
281,Bloody parking ticket ðŸ˜’ðŸ’¸ #fuming,anger,3
282,Boys Dm me pictures of your cocks! The best one will get uploaded! â˜ºï¸ðŸ’¦ðŸ’¦ #Cumtribute #dm  #snapchat #snapme #nudes #dickpic #cocktribute,anger,1
283,@RiveraJose39 happy birthday to my seedâ€¼ï¸â€¼ï¸â€¼ï¸ #renewtherivalry #imyourdaddy #cantbeatme  #tater,anger,0
284,@jamiesmart Huh! It's always my fault isn't it &gt;:(  #sulk,anger,3
285,@cxmbeferre so you WOULDNT date me????? ,anger,1
286,"This anger inside I turned to fuel, I burned and watched myself spin down, like inferno types,",anger,3
287,@DanRather What King says doesn't matter. The fact he came w/ psycho Don is by far more of an affront.,anger,2
288,Dear @TfL please tell your bus drivers if obstruction on their side DON'T just pull out to oncoming traffic causing vehs to swerve #fuming ðŸ˜¡,anger,3
289,Still can't log into my fucking Snapchat #Snapchat ,anger,3
290,#disgracefulesin I resent all men in some way; for some or no reason at all. #esinscountdown,anger,2
291,@summar_rose @turehndebushra @_taaz_mania @fxla_ summar one more insult from you and you're gone Idc if you're my dad,anger,3
292,@UlsterWillFight @VanguardBears Looks like a rabid pack of inbreds.,anger,2
293,I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop  #howmanymoretimes,anger,2
294,@BigBrother__USA she is just jealous and a cry baby! #bitter #gladsheisgone #crybaby,anger,2
295,@XemitSellsMagic add tracking but resent them,anger,3
296,People often grudge others what they cannot enjoy themselves.,anger,1
